itemlink_URL,itemlink,Precio,itemparking,itemdetail,itemdetail2
https://www.idealista.com/inmueble/106281971/,"
Piso en calle Francisco Vales Villamarín, Los Castros - Castrillón, a Coruña
",160.000€,,2 hab.,51 m²
https://www.idealista.com/inmueble/106213986/,"
Piso en calle Azahar, Someso - Matogrande, a Coruña
",195.000€,,3 hab.,95 m²
https://www.idealista.com/inmueble/106150246/,"
Piso en calle Médico Durán, Falperra-Santa Lucía, a Coruña
",310.000€,,2 hab.,74 m²
https://www.idealista.com/inmueble/106404068/,"
Piso en Los Castros - Castrillón, a Coruña
",175.000€,,1 hab.,60 m²
https://www.idealista.com/inmueble/106227614/,"
Dúplex en calle Barcelona, Agra del Orzán - Ventorrillo, a Coruña
",239.000€,Garaje incluido,4 hab.,116 m²
https://www.idealista.com/inmueble/102833781/,"
Ático en San Roque de Afuera, s/n, Riazor - Los Rosales, a Coruña
",1.121.000€,Garaje incluido,4 hab.,184 m²
https://www.idealista.com/inmueble/102833701/,"
Piso en San Roque de Afuera, s/n, Riazor - Los Rosales, a Coruña
",499.000€,Garaje incluido,3 hab.,137 m²
https://www.idealista.com/inmueble/106209311/,"
Dúplex en avenida Ferrocarril, Os Mallos, a Coruña
",610.000€,,4 hab.,178 m²
https://www.idealista.com/inmueble/103908154/,"
Piso en San Roque de Afuera, s/n, Riazor - Los Rosales, a Coruña
",476.000€,Garaje incluido,3 hab.,126 m²
https://www.idealista.com/inmueble/106250990/,"
Piso en calle Rafael Dieste, Los Castros - Castrillón, a Coruña
",330.000€,Garaje incluido,3 hab.,116 m²
https://www.idealista.com/inmueble/106214537/,"
Piso en plaza Escultor Mon Vasco, Someso - Matogrande, a Coruña
",89.900€,,2 hab.,64 m²
https://www.idealista.com/inmueble/103907097/,"
Piso en Alcalde Pérez Arda, 16, Cuatro Caminos - Plaza de la Cubela, a Coruña
",222.000€,Garaje incluido,1 hab.,82 m²
https://www.idealista.com/inmueble/106139213/,"
Casa o chalet independiente en calle París, Elviña - a Zapateira, a Coruña
",850.000€,Garaje incluido,10 hab.,450 m²
https://www.idealista.com/inmueble/106215372/,"
Piso en calle Bailén, Ciudad Vieja - Centro, a Coruña
",520.000€,,3 hab.,158 m²
https://www.idealista.com/inmueble/103907164/,"
Piso en Alcalde Pérez Arda, 16, Cuatro Caminos - Plaza de la Cubela, a Coruña
",479.500€,Garaje incluido,3 hab.,164 m²
https://www.idealista.com/inmueble/106202103/,"
Chalet adosado en calle Blanco White, Someso - Matogrande, a Coruña
",350.000€,Garaje incluido,4 hab.,372 m²
https://www.idealista.com/inmueble/106271277/,"
Piso en calle Emilio González López, Riazor - Los Rosales, a Coruña
",250.000€,Garaje incluido,2 hab.,77 m²
https://www.idealista.com/inmueble/106239405/,"
Piso en calle Juana de Vega, Ensanche, a Coruña
",1.500.000€,Garaje incluido,4 hab.,269 m²
https://www.idealista.com/inmueble/106086346/,"
Piso en calle Adelaida Muro, Monte Alto - Zalaeta - Atocha, a Coruña
",649.000€,Garaje incluido,3 hab.,120 m²
https://www.idealista.com/inmueble/104508203/,"
Piso en avenida de Arteixo, Juan Flórez-San Pablo, a Coruña
",355.000€,,3 hab.,122 m²
https://www.idealista.com/inmueble/105623181/,"
Piso en calle Miramar Castrillón, Los Castros - Castrillón, a Coruña
",138.000€,,4 hab.,79 m²
https://www.idealista.com/inmueble/104237930/,"
Piso en ronda de Outeiro, Sagrada Familia, a Coruña
",230.000€,Garaje incluido,4 hab.,121 m²
